reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libkeyutils1	1.6.1-2	amd64	keyutils	1.6.1-2	libkeyutils1	arm64	native-arm64	exact-binary-and-source-version	1.6.1-2	7101c2380ab47a3627a6fa076a149ab71078263064f936fccbd43efbaed4a2da	7101c2380ab47a3627a6fa076a149ab71078263064f936fccbd43efbaed4a2da-libkeyutils1_1.6.1-2_arm64.deb
libklibc	2.0.8-6.1	amd64	klibc	2.0.8-6.1	libklibc	arm64	native-arm64	exact-binary-and-source-version	2.0.8-6.1	5eeaaf0bc236090878fa6a5d0f2bea127c67dd0f1144573c43d90b2a35abd3ee	5eeaaf0bc236090878fa6a5d0f2bea127c67dd0f1144573c43d90b2a35abd3ee-libklibc_2.0.8-6.1_arm64.deb
libkmod2	28-1	amd64	kmod	28-1	libkmod2	arm64	native-arm64	exact-binary-and-source-version	28-1	b23875b1dd2ffaae6a5f4e45d22a7a4f0fa5827903e049d64efed91dda27194d	b23875b1dd2ffaae6a5f4e45d22a7a4f0fa5827903e049d64efed91dda27194d-libkmod2_28-1_arm64.deb
libkrb5-3	1.18.3-6+deb11u3	amd64	krb5	1.18.3-6+deb11u3	libkrb5-3	arm64	native-arm64	exact-binary-and-source-version	1.18.3-6+deb11u3	130a57d59a0b76711d1d42b54491017d84052c8bad05971fc8d13b2c5cb07a5f	130a57d59a0b76711d1d42b54491017d84052c8bad05971fc8d13b2c5cb07a5f-libkrb5-3_1.18.3-6+deb11u3_arm64.deb
libkrb5support0	1.18.3-6+deb11u3	amd64	krb5	1.18.3-6+deb11u3	libkrb5support0	arm64	native-arm64	exact-binary-and-source-version	1.18.3-6+deb11u3	7e42d93c73eff4d34e981aeabb48f6a7da2123a145fe13c08b0f853a947d76bf	7e42d93c73eff4d34e981aeabb48f6a7da2123a145fe13c08b0f853a947d76bf-libkrb5support0_1.18.3-6+deb11u3_arm64.deb
libksba8	1.5.0-3+deb11u2	amd64	libksba	1.5.0-3+deb11u2	libksba8	arm64	native-arm64	exact-binary-and-source-version	1.5.0-3+deb11u2	8602e8e8e0be88e5ffd5e911dacdfd08e2b0f2dab753da96e6fe6ae0e09cfe33	8602e8e8e0be88e5ffd5e911dacdfd08e2b0f2dab753da96e6fe6ae0e09cfe33-libksba8_1.5.0-3+deb11u2_arm64.deb
liblapack3	3.9.0-3	amd64	lapack	3.9.0-3	liblapack3	arm64	native-arm64	exact-binary-and-source-version	3.9.0-3	30858f2b44bd6e24100bf119ab7e4da0e9db9df1ade3957e65952d95d4c308e6	30858f2b44bd6e24100bf119ab7e4da0e9db9df1ade3957e65952d95d4c308e6-liblapack3_3.9.0-3_arm64.deb
liblcms2-2	2.12~rc1-2	amd64	lcms2	2.12~rc1-2	liblcms2-2	arm64	native-arm64	exact-binary-and-source-version	2.12~rc1-2	6d92ee1f0d427b88ab9bff32c769b61e2597c8fb289589ca0731a7e77d490d6e	6d92ee1f0d427b88ab9bff32c769b61e2597c8fb289589ca0731a7e77d490d6e-liblcms2-2_2.12~rc1-2_arm64.deb
liblcms2-utils	2.12~rc1-2	amd64	lcms2	2.12~rc1-2	liblcms2-utils	arm64	native-arm64	exact-binary-and-source-version	2.12~rc1-2	5297d7e8d410531d75a7a2596070c45c33b6a48fd9be9502f9461499a0294aaf	5297d7e8d410531d75a7a2596070c45c33b6a48fd9be9502f9461499a0294aaf-liblcms2-utils_2.12~rc1-2_arm64.deb
libldap-2.4-2	2.4.57+dfsg-3+deb11u1	amd64	openldap	2.4.57+dfsg-3+deb11u1	libldap-2.4-2	arm64	native-arm64	exact-binary-and-source-version	2.4.57+dfsg-3+deb11u1	4803bddc9ff915cd91d0cc4ec22c6ab5e07b213e6a44118025fdab8bfa6d20ba	4803bddc9ff915cd91d0cc4ec22c6ab5e07b213e6a44118025fdab8bfa6d20ba-libldap-2.4-2_2.4.57+dfsg-3+deb11u1_arm64.deb
