path	classification	unsigned_equal	runtime_equal	executable_equal	writable_equal	symbol_equal	text_equal	different_runtime_sections
kernel/drivers/net/ethernet/intel/ixgbevf/ixgbevf.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/jme.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/marvell/skge.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/marvell/sky2.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/mellanox/mlx4/mlx4_core.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/mellanox/mlx4/mlx4_en.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,__jump_table,__versions
kernel/drivers/net/ethernet/mellanox/mlx5/core/mlx5_core.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__tracepoints,__versions
kernel/drivers/net/ethernet/mellanox/mlxfw/mlxfw.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/micrel/ksz884x.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/microchip/lan743x.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/myricom/myri10ge/myri10ge.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/natsemi/natsemi.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/natsemi/ns83820.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/neterion/s2io.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/neterion/vxge/vxge.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/netronome/nfp/nfp.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/nvidia/forcedeth.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/packetengines/hamachi.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/packetengines/yellowfin.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/qlogic/netxen/netxen_nic.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/qlogic/qed/qed.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/qlogic/qede/qede.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,.text.unlikely,__jump_table,__versions
kernel/drivers/net/ethernet/qlogic/qla3xxx.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/qlogic/qlcnic/qlcnic.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.rodata.str1.1,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/rdc/r6040.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/realtek/8139cp.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.text,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/realtek/8139too.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/realtek/r8169.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/sfc/falcon/sfc-falcon.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.retpoline_sites,.return_sites,.rodata.str1.1,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/sfc/sfc.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.text,.text.unlikely,__bug_table,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/silan/sc92031.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/sis/sis190.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/sis/sis900.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/ethernet/smsc/epic100.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/ethernet/smsc/smc91c92_cs.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__dyndbg,__jump_table,__versions
