package	version	architecture	source	source_version	multi_arch	essential	priority	section	custom_candidate
gooroom-showdesktop-applet	0.2.0+grm3u1	amd64	gooroom-showdesktop-applet	0.2.0+grm3u1		no	optional	gnome	True
gooroom-software	3.30.6+5+grm3u6	amd64	gooroom-software	3.30.6+5+grm3u6		no	optional	gnome	True
gooroom-software-common	3.30.6+5+grm3u6	all	gooroom-software	3.30.6+5+grm3u6	foreign	no	optional	gnome	True
gooroom-software-plugin-flatpak	3.30.6+5+grm3u6	amd64	gooroom-software	3.30.6+5+grm3u6		no	optional	gnome	True
gooroom-translations	20230728+han3u1	all	gooroom-translations	20230728+han3u1		no	optional	admin	True
gooroom-update	1.3.3+grm3u1	all	gooroom-update	1.3.3+grm3u1		no	optional	admin	True
gooroom-yelp-adjustments	0.3.10+han3u1	all	gooroom-yelp-adjustments	0.3.10+han3u1		no	optional	admin	True
gooroomsystem	1.1.3+grm3u1	all	gooroomsystem	1.1.3+grm3u1		no	optional	admin	True
gpart	1:0.3-8	amd64	gpart	1:0.3-8		no	optional	admin	False
gparted	1.2.0-1	amd64	gparted	1.2.0-1		no	optional	gnome	False
gparted-common	1.2.0-1	all	gparted	1.2.0-1		no	optional	gnome	False
gpg	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gpg-agent	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gpg-wks-client	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gpg-wks-server	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gpgconf	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gpgsm	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
gpgv	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	important	utils	False
grac-device-daemon	1.4.9+grm3u1	all	gooroom-resource-access-control	1.4.9+grm3u1		no	optional	admin	True
grac-editor	1.4.9+grm3u1	all	gooroom-resource-access-control	1.4.9+grm3u1		no	optional	admin	True
grep	3.6-1+deb11u1	amd64	grep	3.6-1+deb11u1	foreign	yes	required	utils	False
groff-base	1.22.4-6	amd64	groff	1.22.4-6	foreign	no	important	text	False
grub-common	2.06-3~deb11u5	amd64	grub2	2.06-3~deb11u5	foreign	no	optional	admin	False
grub-pc	2.06-3~deb11u5	amd64	grub2	2.06-3~deb11u5	foreign	no	optional	admin	False
grub-pc-bin	2.06-3~deb11u5	amd64	grub2	2.06-3~deb11u5	foreign	no	optional	admin	False
grub2-common	2.06-3~deb11u5	amd64	grub2	2.06-3~deb11u5	foreign	no	optional	admin	False
gsettings-desktop-schemas	3.38.0-2	all	gsettings-desktop-schemas	3.38.0-2	foreign	no	optional	gnome	False
