source	source_version	binary_packages	custom_candidate
libdvdread	6.1.1-2	libdvdread8	False
libedit	3.1-20191231-2	libedit2	False
libepoxy	1.5.5-1	libepoxy0	False
libept	1.2.1	libept1.6.0	False
libestr	0.1.10-2.1	libestr0	False
libevdev	1.11.0+dfsg-1	libevdev2	False
libevent	2.1.12-stable-1	libevent-2.1-7	False
libexif	0.6.22-3	libexif12	False
libextutils-depends-perl	0.8000-1	libextutils-depends-perl	False
libextutils-pkgconfig-perl	1.16-1.1	libextutils-pkgconfig-perl	False
libfastjson	0.99.9-1	libfastjson4	False
libffi	3.3-6	libffi7	False
libfontenc	1:1.1.4-1	libfontenc1	False
libgcrypt20	1.8.7-6	libgcrypt20	False
libgd2	2.3.0-2	libgd3	False
libgdata	0.17.13-3	libgdata-common,libgdata22	False
libgee-0.8	0.20.4-1	libgee-0.8-2	False
libglib-object-introspection-perl	0.049-1	libglib-object-introspection-perl	False
libglib-perl	3:1.329.3-1	libglib-perl	False
libglu	9.0.1-1	libglu1-mesa	False
libglvnd	1.3.2-1	libegl1,libgl1,libgles2,libglvnd0,libglx0	False
libgnomekbd	3.26.1-1	gkbd-capplet,libgnomekbd-common,libgnomekbd8	False
libgpg-error	1.38-2	libgpg-error0	False
libgphoto2	2.5.27-1	libgphoto2-6,libgphoto2-port12	False
libgsf	1.14.47-1	libgsf-1-114,libgsf-1-common	False
libgsm	1.0.18-2	libgsm1	False
libgtk3-perl	0.038-1	libgtk3-perl	False
libgtop2	2.40.0-2	libgtop-2.0-11,libgtop2-common	False
libgudev	234-1	libgudev-1.0-0	False
libgusb	0.3.5-1	libgusb2	False
libgweather	3.36.1-3	libgweather-3-16,libgweather-common	False
libgxps	0.3.2-1	libgxps2	False
libhandy-1	1.0.3-2	libhandy-1-0	False
libhangul	0.1.0+git20191003-2	libhangul-data,libhangul1	False
libhx	3.25-2	libhx32	False
libical3	3.0.9-2	libical3	False
libice	2:1.0.10-1	libice6	False
libidn	1.33-3	libidn11	False
libidn2	2.3.0-5	libidn2-0	False
libiec61883	1.2.0-4	libiec61883-0	False
libieee1284	0.2.11-14	libieee1284-3	False
libimagequant	2.12.2-1.1	libimagequant0	False
libimobiledevice	1.3.0-6	libimobiledevice6	False
libinput	1.16.4-3	libinput-bin,libinput10	False
libinstpatch	1.1.6-1	libinstpatch-1.0-2	False
libiptcdata	1.0.5-2.3	libiptcdata0	False
libjpeg-turbo	1:2.0.6-4	libjpeg62-turbo	False
libjsoncpp	1.9.4-4	libjsoncpp24	False
libkate	0.4.1-11	libkate1	False
libksba	1.5.0-3+deb11u2	libksba8	False
liblocale-gettext-perl	1.07-4	liblocale-gettext-perl	False
liblognorm	2.0.5-1.1	liblognorm5	False
libltc	1.3.1-1	libltc11	False
libmanette	0.2.5-1	libmanette-0.2-0	False
libmd	1.0.3-3	libmd0	False
libmediaart	1.9.4-3	libmediaart-2.0-0	False
libmms	0.6.4-3	libmms0	False
libmnl	1.0.4-3	libmnl0	False
libmodplug	1:0.8.9.0-3	libmodplug1	False
libmpc	2:0.1~r495-2	libmpcdec6	False
libmtp	1.1.17-3	libmtp-common,libmtp9	False
libmysofa	1.2~dfsg0-1	libmysofa1	False
libndp	1.6-1	libndp0	False
libnetfilter-conntrack	1.0.8-3	libnetfilter-conntrack3	False
libnfnetlink	1.0.1-3	libnfnetlink0	False
libnfs	4.0.0-1	libnfs13	False
libnftnl	1.1.9-1	libnftnl11	False
libnice	0.1.16-1	gstreamer1.0-nice,libnice10	False
libnl3	3.4.0-1	libnl-3-200,libnl-genl-3-200,libnl-route-3-200	False
libnma	1.8.30-1+grm3u2	libnma-common,libnma0	False
libnotify	0.7.9-3	gir1.2-notify-0.7,libnotify-bin,libnotify4	False
libnsl	1.3.0-2	libnsl2	False
libofa	0.9.3-21	libofa0	False
libogg	1.3.4-0.1	libogg0	False
libopenmpt	0.4.11-1	libopenmpt0	False
libosinfo	1.8.0-1	libosinfo-1.0-0	False
libpam-mount	2.18-1	libpam-mount	False
libpaper	1.1.28	libpaper1	False
libpcap	1.10.0-2	libpcap0.8	False
libpciaccess	0.16-1	libpciaccess0	False
libpeas	1.28.0-2	gir1.2-peas-1.0,libpeas-1.0-0,libpeas-common	False
libpgm	5.3.128~dfsg-2	libpgm-5.3-0	False
libpipeline	1.5.3-1	libpipeline1	False
libplist	2.2.0-6	libplist3	False
libpng1.6	1.6.37-3	libpng16-16	False
libproxy	0.4.17-1	libproxy1v5	False
libpsl	0.21.0-1.2	libpsl5	False
libpwquality	1.4.4-1	libpam-pwquality,libpwquality-common,libpwquality-tools,libpwquality1,python3-pwquality	False
libquvi	0.9.3-1.3	libquvi-0.9-0.9.3	False
