reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
libldb2	2:2.2.3-2~deb11u2	exact-arm64	ldb	2:2.2.3-2~deb11u2	libldb2	2:2.2.3-2~deb11u2	arm64	False
liblightdm-gobject-1-0	1.26.0-7+grm3u1	rebuild-arm64	lightdm	1.26.0-7+grm3u1	liblightdm-gobject-1-0	1.26.0-7+grm3u1	arm64	True
liblilv-0-0	0.24.12-2	exact-arm64	lilv	0.24.12-2	liblilv-0-0	0.24.12-2	arm64	False
libllvm11	1:11.0.1-2	exact-arm64	llvm-toolchain-11	1:11.0.1-2	libllvm11	1:11.0.1-2	arm64	False
liblmdb0	0.9.24-1	exact-arm64	lmdb	0.9.24-1	liblmdb0	0.9.24-1	arm64	False
liblocale-gettext-perl	1.07-4+b1	exact-arm64	liblocale-gettext-perl	1.07-4	liblocale-gettext-perl	1.07-4+b1	arm64	False
liblognorm5	2.0.5-1.1	exact-arm64	liblognorm	2.0.5-1.1	liblognorm5	2.0.5-1.1	arm64	False
libltc11	1.3.1-1	exact-arm64	libltc	1.3.1-1	libltc11	1.3.1-1	arm64	False
libltdl7	2.4.6-15	exact-arm64	libtool	2.4.6-15	libltdl7	2.4.6-15	arm64	False
liblua5.2-0	5.2.4-1.1+b3	exact-arm64	lua5.2	5.2.4-1.1	liblua5.2-0	5.2.4-1.1+b3	arm64	False
liblz4-1	1.9.3-2	exact-arm64	lz4	1.9.3-2	liblz4-1	1.9.3-2	arm64	False
liblzma5	5.2.5-2.1~deb11u1	exact-arm64	xz-utils	5.2.5-2.1~deb11u1	liblzma5	5.2.5-2.1~deb11u1	arm64	False
liblzo2-2	2.10-2	exact-arm64	lzo2	2.10-2	liblzo2-2	2.10-2	arm64	False
libmagic-mgc	1:5.39-3	exact-arm64	file	1:5.39-3	libmagic-mgc	1:5.39-3	arm64	False
libmagic1	1:5.39-3	exact-arm64	file	1:5.39-3	libmagic1	1:5.39-3	arm64	False
libmalcontent-0-0	0.10.0-2	exact-arm64	malcontent	0.10.0-2	libmalcontent-0-0	0.10.0-2	arm64	False
libmalcontent-ui-0-0	0.10.0-2	exact-arm64	malcontent	0.10.0-2	libmalcontent-ui-0-0	0.10.0-2	arm64	False
libmanette-0.2-0	0.2.5-1	exact-arm64	libmanette	0.2.5-1	libmanette-0.2-0	0.2.5-1	arm64	False
libmd0	1.0.3-3	exact-arm64	libmd	1.0.3-3	libmd0	1.0.3-3	arm64	False
libmd4c0	0.4.7-2	exact-arm64	md4c	0.4.7-2	libmd4c0	0.4.7-2	arm64	False
libmediaart-2.0-0	1.9.4-3	exact-arm64	libmediaart	1.9.4-3	libmediaart-2.0-0	1.9.4-3	arm64	False
libmetacity3	1:3.38.0-2+grm3u1	rebuild-arm64	metacity	1:3.38.0-2+grm3u1	libmetacity3	1:3.38.0-2+grm3u1	arm64	True
libminizip1	1.1-8+b1	exact-arm64	minizip	1.1-8	libminizip1	1.1-8+b1	arm64	False
libmjpegutils-2.1-0	1:2.1.0+debian-6	exact-arm64	mjpegtools	1:2.1.0+debian-6	libmjpegutils-2.1-0	1:2.1.0+debian-6	arm64	False
libmm-glib0	1.14.12-0.2	exact-arm64	modemmanager	1.14.12-0.2	libmm-glib0	1.14.12-0.2	arm64	False
libmms0	0.6.4-3	exact-arm64	libmms	0.6.4-3	libmms0	0.6.4-3	arm64	False
libmnl0	1.0.4-3	exact-arm64	libmnl	1.0.4-3	libmnl0	1.0.4-3	arm64	False
libmodplug1	1:0.8.9.0-3	exact-arm64	libmodplug	1:0.8.9.0-3	libmodplug1	1:0.8.9.0-3	arm64	False
libmount1	2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	libmount1	2.36.1-8+deb11u1	arm64	False
libmozjs-78-0	78.4.0-2	exact-arm64	mozjs78	78.4.0-2	libmozjs-78-0	78.4.0-2	arm64	False
libmp3lame0	3.100-3	exact-arm64	lame	3.100-3	libmp3lame0	3.100-3	arm64	False
libmpc3	1.2.0-1	exact-arm64	mpclib3	1.2.0-1	libmpc3	1.2.0-1	arm64	False
libmpcdec6	2:0.1~r495-2	exact-arm64	libmpc	2:0.1~r495-2	libmpcdec6	2:0.1~r495-2	arm64	False
libmpdec3	2.5.1-1	exact-arm64	mpdecimal	2.5.1-1	libmpdec3	2.5.1-1	arm64	False
libmpeg2-4	0.5.1-9	exact-arm64	mpeg2dec	0.5.1-9	libmpeg2-4	0.5.1-9	arm64	False
libmpeg2encpp-2.1-0	1:2.1.0+debian-6	exact-arm64	mjpegtools	1:2.1.0+debian-6	libmpeg2encpp-2.1-0	1:2.1.0+debian-6	arm64	False
libmpfr6	4.1.0-3	exact-arm64	mpfr4	4.1.0-3	libmpfr6	4.1.0-3	arm64	False
libmpg123-0	1.26.4-1	exact-arm64	mpg123	1.26.4-1	libmpg123-0	1.26.4-1	arm64	False
libmplex2-2.1-0	1:2.1.0+debian-6	exact-arm64	mjpegtools	1:2.1.0+debian-6	libmplex2-2.1-0	1:2.1.0+debian-6	arm64	False
libmpv1	0.32.0-3	exact-arm64	mpv	0.32.0-3	libmpv1	0.32.0-3	arm64	False
libmtdev1	1.1.6-1	exact-arm64	mtdev	1.1.6-1	libmtdev1	1.1.6-1	arm64	False
libmtp-common	1.1.17-3	reuse-all	libmtp	1.1.17-3	libmtp-common	1.1.17-3	all	False
libmtp9	1.1.17-3	exact-arm64	libmtp	1.1.17-3	libmtp9	1.1.17-3	arm64	False
libmysofa1	1.2~dfsg0-1	exact-arm64	libmysofa	1.2~dfsg0-1	libmysofa1	1.2~dfsg0-1	arm64	False
libnautilus-extension1a	3.38.2-1+deb11u1+grm3u8	rebuild-arm64	nautilus	3.38.2-1+deb11u1+grm3u8	libnautilus-extension1a	3.38.2-1+deb11u1+grm3u8	arm64	True
libncurses6	6.2+20201114-2+deb11u1	exact-arm64	ncurses	6.2+20201114-2+deb11u1	libncurses6	6.2+20201114-2+deb11u1	arm64	False
libncursesw6	6.2+20201114-2+deb11u1	exact-arm64	ncurses	6.2+20201114-2+deb11u1	libncursesw6	6.2+20201114-2+deb11u1	arm64	False
libndp0	1.6-1+b1	exact-arm64	libndp	1.6-1	libndp0	1.6-1+b1	arm64	False
libneon27	0.31.2-1	exact-arm64	neon27	0.31.2-1	libneon27	0.31.2-1	arm64	False
libnetfilter-conntrack3	1.0.8-3	exact-arm64	libnetfilter-conntrack	1.0.8-3	libnetfilter-conntrack3	1.0.8-3	arm64	False
libnettle8	3.7.3-1	exact-arm64	nettle	3.7.3-1	libnettle8	3.7.3-1	arm64	False
libnewt0.52	0.52.21-4+b3	exact-arm64	newt	0.52.21-4	libnewt0.52	0.52.21-4+b3	arm64	False
libnfnetlink0	1.0.1-3+b1	exact-arm64	libnfnetlink	1.0.1-3	libnfnetlink0	1.0.1-3+b1	arm64	False
libnfs13	4.0.0-1	exact-arm64	libnfs	4.0.0-1	libnfs13	4.0.0-1	arm64	False
libnftables1	0.9.8-3.1+deb11u1	exact-arm64	nftables	0.9.8-3.1+deb11u1	libnftables1	0.9.8-3.1+deb11u1	arm64	False
libnftnl11	1.1.9-1	exact-arm64	libnftnl	1.1.9-1	libnftnl11	1.1.9-1	arm64	False
libnghttp2-14	1.43.0-1	exact-arm64	nghttp2	1.43.0-1	libnghttp2-14	1.43.0-1	arm64	False
libnice10	0.1.16-1	exact-arm64	libnice	0.1.16-1	libnice10	0.1.16-1	arm64	False
libnimf1	2023.06.30+grm3u1	rebuild-arm64	nimf	2023.06.30+grm3u1	libnimf1	2023.06.30+grm3u1	arm64	True
libnl-3-200	3.4.0-1+b1	exact-arm64	libnl3	3.4.0-1	libnl-3-200	3.4.0-1+b1	arm64	False
libnl-genl-3-200	3.4.0-1+b1	exact-arm64	libnl3	3.4.0-1	libnl-genl-3-200	3.4.0-1+b1	arm64	False
libnl-route-3-200	3.4.0-1+b1	exact-arm64	libnl3	3.4.0-1	libnl-route-3-200	3.4.0-1+b1	arm64	False
libnm0	1.30.0-2+grm3u3	rebuild-arm64	network-manager	1.30.0-2+grm3u3	libnm0	1.30.0-2+grm3u3	arm64	True
libnma-common	1.8.30-1+grm3u2	reuse-all	libnma	1.8.30-1+grm3u2	libnma-common	1.8.30-1+grm3u2	all	True
libnma0	1.8.30-1+grm3u2	rebuild-arm64	libnma	1.8.30-1+grm3u2	libnma0	1.8.30-1+grm3u2	arm64	True
libnorm1	1.5.9+dfsg-2	exact-arm64	norm	1.5.9+dfsg-2	libnorm1	1.5.9+dfsg-2	arm64	False
libnotify-bin	0.7.9-3	exact-arm64	libnotify	0.7.9-3	libnotify-bin	0.7.9-3	arm64	False
libnotify4	0.7.9-3	exact-arm64	libnotify	0.7.9-3	libnotify4	0.7.9-3	arm64	False
libnpth0	1.6-3	exact-arm64	npth	1.6-3	libnpth0	1.6-3	arm64	False
libnsl2	1.3.0-2	exact-arm64	libnsl	1.3.0-2	libnsl2	1.3.0-2	arm64	False
libnspr4	2:4.29-1	exact-arm64	nspr	2:4.29-1	libnspr4	2:4.29-1	arm64	False
libnss3	2:3.61-1+deb11u3	exact-arm64	nss	2:3.61-1+deb11u3	libnss3	2:3.61-1+deb11u3	arm64	False
libntfs-3g883	1:2017.3.23AR.3-4+deb11u3	exact-arm64	ntfs-3g	1:2017.3.23AR.3-4+deb11u3	libntfs-3g883	1:2017.3.23AR.3-4+deb11u3	arm64	False
libnuma1	2.0.12-1+b1	exact-arm64	numactl	2.0.12-1	libnuma1	2.0.12-1+b1	arm64	False
libofa0	0.9.3-21	exact-arm64	libofa	0.9.3-21	libofa0	0.9.3-21	arm64	False
libogg0	1.3.4-0.1	exact-arm64	libogg	1.3.4-0.1	libogg0	1.3.4-0.1	arm64	False
libopenal-data	1:1.19.1-2	reuse-all	openal-soft	1:1.19.1-2	libopenal-data	1:1.19.1-2	all	False
libopenal1	1:1.19.1-2	exact-arm64	openal-soft	1:1.19.1-2	libopenal1	1:1.19.1-2	arm64	False
libopencore-amrnb0	0.1.5-1	exact-arm64	opencore-amr	0.1.5-1	libopencore-amrnb0	0.1.5-1	arm64	False
libopencore-amrwb0	0.1.5-1	exact-arm64	opencore-amr	0.1.5-1	libopencore-amrwb0	0.1.5-1	arm64	False
libopenexr25	2.5.4-2+deb11u1	exact-arm64	openexr	2.5.4-2+deb11u1	libopenexr25	2.5.4-2+deb11u1	arm64	False
libopenjp2-7	2.4.0-3	exact-arm64	openjpeg2	2.4.0-3	libopenjp2-7	2.4.0-3	arm64	False
libopenmpt0	0.4.11-1	exact-arm64	libopenmpt	0.4.11-1	libopenmpt0	0.4.11-1	arm64	False
libopenni2-0	2.2.0.33+dfsg-15	exact-arm64	openni2	2.2.0.33+dfsg-15	libopenni2-0	2.2.0.33+dfsg-15	arm64	False
libopus0	1.3.1-0.1	exact-arm64	opus	1.3.1-0.1	libopus0	1.3.1-0.1	arm64	False
liborc-0.4-0	1:0.4.32-1	exact-arm64	orc	1:0.4.32-1	liborc-0.4-0	1:0.4.32-1	arm64	False
libosinfo-1.0-0	1.8.0-1	exact-arm64	libosinfo	1.8.0-1	libosinfo-1.0-0	1.8.0-1	arm64	False
libostree-1-1	2020.8-2+deb11u1	exact-arm64	ostree	2020.8-2+deb11u1	libostree-1-1	2020.8-2+deb11u1	arm64	False
libp11-kit0	0.23.22-1	exact-arm64	p11-kit	0.23.22-1	libp11-kit0	0.23.22-1	arm64	False
libpackagekit-glib2-18	1.2.2-2	exact-arm64	packagekit	1.2.2-2	libpackagekit-glib2-18	1.2.2-2	arm64	False
libpam-gnome-keyring	3.36.0-1	exact-arm64	gnome-keyring	3.36.0-1	libpam-gnome-keyring	3.36.0-1	arm64	False
libpam-modules	1.4.0-9+deb11u1	exact-arm64	pam	1.4.0-9+deb11u1	libpam-modules	1.4.0-9+deb11u1	arm64	False
libpam-modules-bin	1.4.0-9+deb11u1	exact-arm64	pam	1.4.0-9+deb11u1	libpam-modules-bin	1.4.0-9+deb11u1	arm64	False
libpam-mount	2.18-1	exact-arm64	libpam-mount	2.18-1	libpam-mount	2.18-1	arm64	False
libpam-pwquality	1.4.4-1	exact-arm64	libpwquality	1.4.4-1	libpam-pwquality	1.4.4-1	arm64	False
libpam-runtime	1.4.0-9+deb11u1	reuse-all	pam	1.4.0-9+deb11u1	libpam-runtime	1.4.0-9+deb11u1	all	False
libpam-systemd	247.3-7+deb11u4	exact-arm64	systemd	247.3-7+deb11u4	libpam-systemd	247.3-7+deb11u4	arm64	False
libpam0g	1.4.0-9+deb11u1	exact-arm64	pam	1.4.0-9+deb11u1	libpam0g	1.4.0-9+deb11u1	arm64	False
libpango-1.0-0	1.46.2-3	exact-arm64	pango1.0	1.46.2-3	libpango-1.0-0	1.46.2-3	arm64	False
libpangocairo-1.0-0	1.46.2-3	exact-arm64	pango1.0	1.46.2-3	libpangocairo-1.0-0	1.46.2-3	arm64	False
libpangoft2-1.0-0	1.46.2-3	exact-arm64	pango1.0	1.46.2-3	libpangoft2-1.0-0	1.46.2-3	arm64	False
libpangomm-1.4-1v5	2.42.1-1	exact-arm64	pangomm	2.42.1-1	libpangomm-1.4-1v5	2.42.1-1	arm64	False
libpangoxft-1.0-0	1.46.2-3	exact-arm64	pango1.0	1.46.2-3	libpangoxft-1.0-0	1.46.2-3	arm64	False
libpaper1	1.1.28+b1	exact-arm64	libpaper	1.1.28	libpaper1	1.1.28+b1	arm64	False
libparted-fs-resize0	3.4-1	exact-arm64	parted	3.4-1	libparted-fs-resize0	3.4-1	arm64	False
libparted2	3.4-1	exact-arm64	parted	3.4-1	libparted2	3.4-1	arm64	False
libpcap0.8	1.10.0-2	exact-arm64	libpcap	1.10.0-2	libpcap0.8	1.10.0-2	arm64	False
libpci3	1:3.7.0-5	exact-arm64	pciutils	1:3.7.0-5	libpci3	1:3.7.0-5	arm64	False
libpciaccess0	0.16-1	exact-arm64	libpciaccess	0.16-1	libpciaccess0	0.16-1	arm64	False
libpcre2-16-0	10.36-2+deb11u1	exact-arm64	pcre2	10.36-2+deb11u1	libpcre2-16-0	10.36-2+deb11u1	arm64	False
libpcre2-8-0	10.36-2+deb11u1	exact-arm64	pcre2	10.36-2+deb11u1	libpcre2-8-0	10.36-2+deb11u1	arm64	False
libpcre3	2:8.39-13	exact-arm64	pcre3	2:8.39-13	libpcre3	2:8.39-13	arm64	False
libpcsclite1	1.9.1-1	exact-arm64	pcsc-lite	1.9.1-1	libpcsclite1	1.9.1-1	arm64	False
libpeas-1.0-0	1.28.0-2+b1	exact-arm64	libpeas	1.28.0-2	libpeas-1.0-0	1.28.0-2+b1	arm64	False
libpeas-common	1.28.0-2	reuse-all	libpeas	1.28.0-2	libpeas-common	1.28.0-2	all	False
libperl5.32	5.32.1-4+deb11u2	exact-arm64	perl	5.32.1-4+deb11u2	libperl5.32	5.32.1-4+deb11u2	arm64	False
libpgm-5.3-0	5.3.128~dfsg-2	exact-arm64	libpgm	5.3.128~dfsg-2	libpgm-5.3-0	5.3.128~dfsg-2	arm64	False
libpipeline1	1.5.3-1	exact-arm64	libpipeline	1.5.3-1	libpipeline1	1.5.3-1	arm64	False
libpipewire-0.3-0	0.3.19-4	exact-arm64	pipewire	0.3.19-4	libpipewire-0.3-0	0.3.19-4	arm64	False
libpixman-1-0	0.40.0-1.1~deb11u1	exact-arm64	pixman	0.40.0-1.1~deb11u1	libpixman-1-0	0.40.0-1.1~deb11u1	arm64	False
libpkcs11-helper1	1.27-1	exact-arm64	pkcs11-helper	1.27-1	libpkcs11-helper1	1.27-1	arm64	False
libplist3	2.2.0-6	exact-arm64	libplist	2.2.0-6	libplist3	2.2.0-6	arm64	False
libplymouth5	0.9.5-3	exact-arm64	plymouth	0.9.5-3	libplymouth5	0.9.5-3	arm64	False
libpng16-16	1.6.37-3	exact-arm64	libpng1.6	1.6.37-3	libpng16-16	1.6.37-3	arm64	False
libpocketsphinx3	0.8+5prealpha+1-13	exact-arm64	pocketsphinx	0.8+5prealpha+1-13	libpocketsphinx3	0.8+5prealpha+1-13	arm64	False
libpolkit-agent-1-0	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	policykit-1	0.105-31+nDeb11u1+grm3u1	libpolkit-agent-1-0	0.105-31+nDeb11u1+grm3u1	arm64	True
libpolkit-gobject-1-0	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	policykit-1	0.105-31+nDeb11u1+grm3u1	libpolkit-gobject-1-0	0.105-31+nDeb11u1+grm3u1	arm64	True
libpoppler-cpp0v5	20.09.0-3.1+deb11u1	exact-arm64	poppler	20.09.0-3.1+deb11u1	libpoppler-cpp0v5	20.09.0-3.1+deb11u1	arm64	False
libpoppler-glib8	20.09.0-3.1+deb11u1	exact-arm64	poppler	20.09.0-3.1+deb11u1	libpoppler-glib8	20.09.0-3.1+deb11u1	arm64	False
libpoppler102	20.09.0-3.1+deb11u1	exact-arm64	poppler	20.09.0-3.1+deb11u1	libpoppler102	20.09.0-3.1+deb11u1	arm64	False
libpopt0	1.18-2	exact-arm64	popt	1.18-2	libpopt0	1.18-2	arm64	False
libpostproc55	7:4.3.6-0+deb11u1	exact-arm64	ffmpeg	7:4.3.6-0+deb11u1	libpostproc55	7:4.3.6-0+deb11u1	arm64	False
libprocps8	2:3.3.17-5	exact-arm64	procps	2:3.3.17-5	libprocps8	2:3.3.17-5	arm64	False
libproxy1v5	0.4.17-1	exact-arm64	libproxy	0.4.17-1	libproxy1v5	0.4.17-1	arm64	False
libpsl5	0.21.0-1.2	exact-arm64	libpsl	0.21.0-1.2	libpsl5	0.21.0-1.2	arm64	False
libpulse-mainloop-glib0	14.2-2	exact-arm64	pulseaudio	14.2-2	libpulse-mainloop-glib0	14.2-2	arm64	False
libpulse0	14.2-2	exact-arm64	pulseaudio	14.2-2	libpulse0	14.2-2	arm64	False
libpulsedsp	14.2-2	exact-arm64	pulseaudio	14.2-2	libpulsedsp	14.2-2	arm64	False
libpwquality-common	1.4.4-1	reuse-all	libpwquality	1.4.4-1	libpwquality-common	1.4.4-1	all	False
libpwquality-tools	1.4.4-1	exact-arm64	libpwquality	1.4.4-1	libpwquality-tools	1.4.4-1	arm64	False
libpwquality1	1.4.4-1	exact-arm64	libpwquality	1.4.4-1	libpwquality1	1.4.4-1	arm64	False
libpython2.7-minimal	2.7.18-8	exact-arm64	python2.7	2.7.18-8	libpython2.7-minimal	2.7.18-8	arm64	False
libpython2.7-stdlib	2.7.18-8	exact-arm64	python2.7	2.7.18-8	libpython2.7-stdlib	2.7.18-8	arm64	False
libpython3-stdlib	3.9.2-3	exact-arm64	python3-defaults	3.9.2-3	libpython3-stdlib	3.9.2-3	arm64	False
libpython3.9	3.9.2-1	exact-arm64	python3.9	3.9.2-1	libpython3.9	3.9.2-1	arm64	False
libpython3.9-minimal	3.9.2-1	exact-arm64	python3.9	3.9.2-1	libpython3.9-minimal	3.9.2-1	arm64	False
libpython3.9-stdlib	3.9.2-1	exact-arm64	python3.9	3.9.2-1	libpython3.9-stdlib	3.9.2-1	arm64	False
libqpdf28	10.1.0-1	exact-arm64	qpdf	10.1.0-1	libqpdf28	10.1.0-1	arm64	False
libqt5designer5	5.15.2-5	exact-arm64	qttools-opensource-src	5.15.2-5	libqt5designer5	5.15.2-5	arm64	False
libqt5help5	5.15.2-5	exact-arm64	qttools-opensource-src	5.15.2-5	libqt5help5	5.15.2-5	arm64	False
libquvi-0.9-0.9.3	0.9.3-1.3	exact-arm64	libquvi	0.9.3-1.3	libquvi-0.9-0.9.3	0.9.3-1.3	arm64	False
libquvi-scripts-0.9	0.9.20131130-1.2	reuse-all	libquvi-scripts	0.9.20131130-1.2	libquvi-scripts-0.9	0.9.20131130-1.2	all	False
librabbitmq4	0.10.0-1	exact-arm64	librabbitmq	0.10.0-1	librabbitmq4	0.10.0-1	arm64	False
libraw1394-11	2.1.2-2	exact-arm64	libraw1394	2.1.2-2	libraw1394-11	2.1.2-2	arm64	False
libre2-9	20210201+dfsg-1	exact-arm64	re2	20210201+dfsg-1	libre2-9	20210201+dfsg-1	arm64	False
libreadline8	8.1-1	exact-arm64	readline	8.1-1	libreadline8	8.1-1	arm64	False
librest-0.7-0	0.8.1-1.1	exact-arm64	librest	0.8.1-1.1	librest-0.7-0	0.8.1-1.1	arm64	False
librsvg2-2	2.50.3+dfsg-1	exact-arm64	librsvg	2.50.3+dfsg-1	librsvg2-2	2.50.3+dfsg-1	arm64	False
librsvg2-common	2.50.3+dfsg-1	exact-arm64	librsvg	2.50.3+dfsg-1	librsvg2-common	2.50.3+dfsg-1	arm64	False
librtmp1	2.4+20151223.gitfa8646d.1-2+b2	exact-arm64	rtmpdump	2.4+20151223.gitfa8646d.1-2	librtmp1	2.4+20151223.gitfa8646d.1-2+b2	arm64	False
librubberband2	1.9.0-1	exact-arm64	rubberband	1.9.0-1	librubberband2	1.9.0-1	arm64	False
librygel-core-2.6-2	0.40.0-1	exact-arm64	rygel	0.40.0-1	librygel-core-2.6-2	0.40.0-1	arm64	False
librygel-db-2.6-2	0.40.0-1	exact-arm64	rygel	0.40.0-1	librygel-db-2.6-2	0.40.0-1	arm64	False
librygel-renderer-2.6-2	0.40.0-1	exact-arm64	rygel	0.40.0-1	librygel-renderer-2.6-2	0.40.0-1	arm64	False
librygel-server-2.6-2	0.40.0-1	exact-arm64	rygel	0.40.0-1	librygel-server-2.6-2	0.40.0-1	arm64	False
libsamplerate0	0.2.1+ds0-1	exact-arm64	libsamplerate	0.2.1+ds0-1	libsamplerate0	0.2.1+ds0-1	arm64	False
libsane-common	1.0.31-4.1	reuse-all	sane-backends	1.0.31-4.1	libsane-common	1.0.31-4.1	all	False
libsane1	1.0.31-4.1	exact-arm64	sane-backends	1.0.31-4.1	libsane1	1.0.31-4.1	arm64	False
libsasl2-2	2.1.27+dfsg-2.1+deb11u1	exact-arm64	cyrus-sasl2	2.1.27+dfsg-2.1+deb11u1	libsasl2-2	2.1.27+dfsg-2.1+deb11u1	arm64	False
libsasl2-modules-db	2.1.27+dfsg-2.1+deb11u1	exact-arm64	cyrus-sasl2	2.1.27+dfsg-2.1+deb11u1	libsasl2-modules-db	2.1.27+dfsg-2.1+deb11u1	arm64	False
libsbc1	1.5-3	exact-arm64	sbc	1.5-3	libsbc1	1.5-3	arm64	False
libsdl2-2.0-0	2.0.14+dfsg2-3+deb11u1	exact-arm64	libsdl2	2.0.14+dfsg2-3+deb11u1	libsdl2-2.0-0	2.0.14+dfsg2-3+deb11u1	arm64	False
libseccomp2	2.5.1-1+deb11u1	exact-arm64	libseccomp	2.5.1-1+deb11u1	libseccomp2	2.5.1-1+deb11u1	arm64	False
libsecret-1-0	0.20.4-2	exact-arm64	libsecret	0.20.4-2	libsecret-1-0	0.20.4-2	arm64	False
libsecret-common	0.20.4-2	reuse-all	libsecret	0.20.4-2	libsecret-common	0.20.4-2	all	False
libselinux1	3.1-3	exact-arm64	libselinux	3.1-3	libselinux1	3.1-3	arm64	False
libsemanage-common	3.1-1	reuse-all	libsemanage	3.1-1	libsemanage-common	3.1-1	all	False
libsemanage1	3.1-1+b2	exact-arm64	libsemanage	3.1-1	libsemanage1	3.1-1+b2	arm64	False
libsensors-config	1:3.6.0-7	reuse-all	lm-sensors	1:3.6.0-7	libsensors-config	1:3.6.0-7	all	False
libsensors5	1:3.6.0-7	exact-arm64	lm-sensors	1:3.6.0-7	libsensors5	1:3.6.0-7	arm64	False
libsepol1	3.1-1	exact-arm64	libsepol	3.1-1	libsepol1	3.1-1	arm64	False
libserd-0-0	0.30.10-2	exact-arm64	serd	0.30.10-2	libserd-0-0	0.30.10-2	arm64	False
libshine3	3.1.1-2	exact-arm64	shine	3.1.1-2	libshine3	3.1.1-2	arm64	False
libshout3	2.4.5-1+b1	exact-arm64	libshout	2.4.5-1	libshout3	2.4.5-1+b1	arm64	False
libsidplay1v5	1.36.60-1	exact-arm64	libsidplay	1.36.60-1	libsidplay1v5	1.36.60-1	arm64	False
libsigc++-2.0-0v5	2.10.4-2	exact-arm64	libsigc++-2.0	2.10.4-2	libsigc++-2.0-0v5	2.10.4-2	arm64	False
libslang2	2.3.2-5	exact-arm64	slang2	2.3.2-5	libslang2	2.3.2-5	arm64	False
libsm6	2:1.2.3-1	exact-arm64	libsm	2:1.2.3-1	libsm6	2:1.2.3-1	arm64	False
libsmartcols1	2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	libsmartcols1	2.36.1-8+deb11u1	arm64	False
libsmbclient	2:4.13.13+dfsg-1~deb11u5	exact-arm64	samba	2:4.13.13+dfsg-1~deb11u5	libsmbclient	2:4.13.13+dfsg-1~deb11u5	arm64	False
libsnappy1v5	1.1.8-1	exact-arm64	snappy	1.1.8-1	libsnappy1v5	1.1.8-1	arm64	False
libsndfile1	1.0.31-2	exact-arm64	libsndfile	1.0.31-2	libsndfile1	1.0.31-2	arm64	False
libsndio7.0	1.5.0-3	exact-arm64	sndio	1.5.0-3	libsndio7.0	1.5.0-3	arm64	False
libsnmp-base	5.9+dfsg-4+deb11u1	reuse-all	net-snmp	5.9+dfsg-4+deb11u1	libsnmp-base	5.9+dfsg-4+deb11u1	all	False
libsnmp40	5.9+dfsg-4+deb11u1	exact-arm64	net-snmp	5.9+dfsg-4+deb11u1	libsnmp40	5.9+dfsg-4+deb11u1	arm64	False
libsodium23	1.0.18-1	exact-arm64	libsodium	1.0.18-1	libsodium23	1.0.18-1	arm64	False
libsord-0-0	0.16.8-2	exact-arm64	sord	0.16.8-2	libsord-0-0	0.16.8-2	arm64	False
libsoundtouch1	2.2+ds1-2	exact-arm64	soundtouch	2.2+ds1-2	libsoundtouch1	2.2+ds1-2	arm64	False
libsoup-gnome2.4-1	2.72.0-2	exact-arm64	libsoup2.4	2.72.0-2	libsoup-gnome2.4-1	2.72.0-2	arm64	False
libsoup2.4-1	2.72.0-2	exact-arm64	libsoup2.4	2.72.0-2	libsoup2.4-1	2.72.0-2	arm64	False
libsoxr0	0.1.3-4	exact-arm64	libsoxr	0.1.3-4	libsoxr0	0.1.3-4	arm64	False
libspa-0.2-modules	0.3.19-4	exact-arm64	pipewire	0.3.19-4	libspa-0.2-modules	0.3.19-4	arm64	False
libspandsp2	0.0.6+dfsg-2	exact-arm64	spandsp	0.0.6+dfsg-2	libspandsp2	0.0.6+dfsg-2	arm64	False
libspeex1	1.2~rc1.2-1.1	exact-arm64	speex	1.2~rc1.2-1.1	libspeex1	1.2~rc1.2-1.1	arm64	False
libspeexdsp1	1.2~rc1.2-1.1	exact-arm64	speex	1.2~rc1.2-1.1	libspeexdsp1	1.2~rc1.2-1.1	arm64	False
libsphinxbase3	0.8+5prealpha+1-12	exact-arm64	sphinxbase	0.8+5prealpha+1-12	libsphinxbase3	0.8+5prealpha+1-12	arm64	False
libsqlite3-0	3.34.1-3	exact-arm64	sqlite3	3.34.1-3	libsqlite3-0	3.34.1-3	arm64	False
libsratom-0-0	0.6.8-1	exact-arm64	sratom	0.6.8-1	libsratom-0-0	0.6.8-1	arm64	False
libsrt1.4-gnutls	1.4.2-1.3	exact-arm64	srt	1.4.2-1.3	libsrt1.4-gnutls	1.4.2-1.3	arm64	False
libsrtp2-1	2.3.0-5	exact-arm64	libsrtp2	2.3.0-5	libsrtp2-1	2.3.0-5	arm64	False
libss2	1.46.2-2	exact-arm64	e2fsprogs	1.46.2-2	libss2	1.46.2-2	arm64	False
libssh-gcrypt-4	0.9.7-0+deb11u1	exact-arm64	libssh	0.9.7-0+deb11u1	libssh-gcrypt-4	0.9.7-0+deb11u1	arm64	False
libssh2-1	1.9.0-2	exact-arm64	libssh2	1.9.0-2	libssh2-1	1.9.0-2	arm64	False
libssl1.1	1.1.1n-0+deb11u5	exact-arm64	openssl	1.1.1n-0+deb11u5	libssl1.1	1.1.1n-0+deb11u5	arm64	False
