reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
gdisk	1.0.6-1.1	exact-arm64	gdisk	1.0.6-1.1	gdisk	1.0.6-1.1	arm64	False
gedit	3.38.1-1+grm3u3	rebuild-arm64	gedit	3.38.1-1+grm3u3	gedit	3.38.1-1+grm3u3	arm64	True
gedit-common	3.38.1-1+grm3u3	reuse-all	gedit	3.38.1-1+grm3u3	gedit-common	3.38.1-1+grm3u3	all	True
gettext-base	0.21-4	exact-arm64	gettext	0.21-4	gettext-base	0.21-4	arm64	False
ghostscript	9.53.3~dfsg-7+deb11u5	exact-arm64	ghostscript	9.53.3~dfsg-7+deb11u5	ghostscript	9.53.3~dfsg-7+deb11u5	arm64	False
gir1.2-atk-1.0	2.36.0-2	exact-arm64	atk1.0	2.36.0-2	gir1.2-atk-1.0	2.36.0-2	arm64	False
gir1.2-freedesktop	1.66.1-1+b1	exact-arm64	gobject-introspection	1.66.1-1	gir1.2-freedesktop	1.66.1-1+b1	arm64	False
gir1.2-gdkpixbuf-2.0	2.42.2+dfsg-1+deb11u1	exact-arm64	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	gir1.2-gdkpixbuf-2.0	2.42.2+dfsg-1+deb11u1	arm64	False
gir1.2-gladeui-2.0	3.38.2-2	exact-arm64	glade	3.38.2-2	gir1.2-gladeui-2.0	3.38.2-2	arm64	False
gir1.2-glib-2.0	1.66.1-1+b1	exact-arm64	gobject-introspection	1.66.1-1	gir1.2-glib-2.0	1.66.1-1+b1	arm64	False
gir1.2-gtk-3.0	3.24.24-4+grm3u2	rebuild-arm64	gtk+3.0	3.24.24-4+grm3u2	gir1.2-gtk-3.0	3.24.24-4+grm3u2	arm64	True
gir1.2-gtksource-4	4.8.0-1	exact-arm64	gtksourceview4	4.8.0-1	gir1.2-gtksource-4	4.8.0-1	arm64	False
gir1.2-harfbuzz-0.0	2.7.4-1	exact-arm64	harfbuzz	2.7.4-1	gir1.2-harfbuzz-0.0	2.7.4-1	arm64	False
gir1.2-javascriptcoregtk-4.0	2.40.3-2~deb11u2	exact-arm64	webkit2gtk	2.40.3-2~deb11u2	gir1.2-javascriptcoregtk-4.0	2.40.3-2~deb11u2	arm64	False
gir1.2-keybinder-3.0	0.3.2-1.1	exact-arm64	keybinder-3.0	0.3.2-1.1	gir1.2-keybinder-3.0	0.3.2-1.1	arm64	False
gir1.2-malcontent-0	0.10.0-2	exact-arm64	malcontent	0.10.0-2	gir1.2-malcontent-0	0.10.0-2	arm64	False
gir1.2-notify-0.7	0.7.9-3	exact-arm64	libnotify	0.7.9-3	gir1.2-notify-0.7	0.7.9-3	arm64	False
gir1.2-packagekitglib-1.0	1.2.2-2	exact-arm64	packagekit	1.2.2-2	gir1.2-packagekitglib-1.0	1.2.2-2	arm64	False
gir1.2-pango-1.0	1.46.2-3	exact-arm64	pango1.0	1.46.2-3	gir1.2-pango-1.0	1.46.2-3	arm64	False
